,secID,tradeDate,ticker,ChgPct,Close,DownPct,LimitDownPct,LimitUpPct,MA5,MA10,MA20,MA60,MA120,MACD,DIFF,DEA,PB1,PB2,PE1,PE2,RSI12,TurnoverValue,TurnoverVol,UpPct,updateTime
970,000001.ZICN,2018-12-24,000001,0.4275,2527.0071,20.4698,0.3356,0.6711,2541.1476,2572.7742,2591.3,2623.5363,2693.5051,-17.6147,-23.8906,-15.0832,1.1989,2.2835,11.054,39.3824,36.9847,85760935759.0,9733985200,72.953,2019-01-23 15:21:34
971,000001.ZICN,2018-12-25,000001,-0.878,2504.819,79.0604,0.8054,0.604,2526.7815,2563.8473,2587.807,2618.931,2691.2489,-19.3436,-27.173,-17.5012,1.189,2.2648,10.9627,38.9492,33.7965,1.14766008799e+11,14067056000,18.7248,2019-01-23 15:21:34
972,000001.ZICN,2018-12-26,000001,-0.2605,2498.2939,52.0805,0.1342,1.0067,2516.5276,2553.4614,2582.6349,2613.789,2688.844,-19.9269,-29.9555,-19.9921,1.1863,2.2653,10.9376,39.0072,32.887,93989532584.0,10879962900,40.4027,2019-01-23 15:21:34
973,000001.ZICN,2018-12-27,000001,-0.6087,2483.0864,79.2617,0.7383,0.4698,2505.8914,2538.3652,2578.417,2608.6442,2686.5436,-20.8244,-33.0073,-22.5951,1.1796,2.2303,10.8755,38.3903,30.781,1.12479760483e+11,13540684300,16.6443,2019-01-23 15:21:34
974,000001.ZICN,2018-12-28,000001,0.4353,2493.8962,39.8925,0.2015,1.1417,2501.4205,2528.3807,2573.7025,2603.1866,2684.5438,-18.5036,-34.1598,-24.908,1.1844,2.2342,10.9212,38.4814,34.0557,1.05980853017e+11,11924525000,52.5185,2019-01-23 15:21:34
975,000001.ZICN,2019-01-02,000001,-1.147,2465.291,54.6676,0.403,1.0745,2489.0773,2515.1125,2564.2271,2598.9996,2682.1943,-19.2758,-36.9554,-27.3175,1.1697,2.2272,10.7861,38.4164,29.9635,97592571964.1,10993201300,39.0866,2019-01-02 22:03:05
976,000001.ZICN,2019-01-03,000001,-0.0377,2464.3628,51.3768,1.1417,1.0745,2480.9861,2503.8838,2554.1474,2594.7221,2679.2714,-18.3697,-38.7986,-29.6137,1.1701,2.2133,10.7898,38.2543,29.8366,1.0692278948e+11,12439749700,40.8328,2019-01-03 22:03:08
977,000001.ZICN,2019-01-04,000001,2.0494,2514.8682,4.3653,0.0672,2.8207,2484.3009,2500.4143,2547.4005,2591.206,2676.6651,-9.8526,-35.7716,-30.8453,1.1938,2.2639,11.0075,39.3207,43.9328,1.3929867503e+11,16887766700,94.7616,2019-01-04 22:03:07
978,000001.ZICN,2019-01-07,000001,0.7245,2533.0887,9.6038,0.0,2.552,2494.3014,2500.0964,2543.7959,2590.3665,2674.6261,-1.1098,-31.5389,-30.984,1.2008,2.3063,11.0728,40.1351,48.0411,1.45513241619e+11,17730501000,88.2471,2019-01-07 22:03:04
979,000001.ZICN,2019-01-08,000001,-0.2616,2526.4622,56.4137,0.2015,1.1417,2500.8146,2501.1175,2539.8246,2589.0256,2672.0328,4.1474,-28.3919,-30.4656,1.1976,2.2999,11.0427,40.1161,46.6839,1.23379039797e+11,15809918100,37.6091,2019-01-08 22:03:04
